Date,Consumption,SpotPrice
1981/01,520822,
1981/02,431050,
1981/03,450170,
1981/04,424952,
1981/05,434198,
1981/06,449393,
1981/07,452429,
1981/08,441930,
1981/09,432510,
1981/10,446899,
1981/11,428964,
1981/12,468444,
1982/01,448853,
1982/02,408231,
1982/03,439416,
1982/04,440443,
1982/05,422802,
1982/06,418714,
1982/07,424169,
1982/08,422484,
1982/09,412225,
1982/10,419972,
1982/11,406924,
1982/12,430343,
1983/01,403765,
1983/02,368784,
1983/03,439213,
1983/04,402373,
1983/05,411670,
1983/06,422878,
1983/07,424117,
1983/08,442728,
1983/09,421293,
1983/10,420618,
1983/11,419298,
1983/12,457817,
1984/01,459063,
1984/02,397904,
1984/03,449228,
1984/04,424097,
1984/05,442484,
1984/06,432706,
1984/07,436092,
1984/08,450432,
1984/09,414797,
1984/10,430612,
1984/11,421277,
1984/12,418803,
1985/01,441368,
1985/02,399008,
1985/03,429792,
1985/04,424360,
1985/05,437242,
1985/06,423239,
1985/07,438512,
1985/08,456867,
1985/09,411229,
1985/10,442133,
1985/11,422906,
1985/12,458888,
1986/01,450078,22.93
1986/02,408539,15.46
1986/03,458542,12.61
1986/04,442954,12.84
1986/05,460882,15.38
1986/06,450581,13.43
1986/07,474194,11.59
1986/08,479438,15.1
1986/09,437685,14.87
1986/10,465609,14.9
1986/11,435868,15.22
1986/12,480350,16.11
1987/01,456984,18.65
1987/02,423431,17.75
1987/03,455916,18.3
1987/04,451246,18.68
1987/05,459649,19.44
1987/06,463925,20.07
1987/07,483939,21.34
1987/08,466043,20.31
1987/09,456690,19.53
1987/10,475988,19.86
1987/11,442550,18.85
1987/12,482086,17.28
1988/01,478408,17.13
1988/02,460396,16.8
1988/03,493881,16.2
1988/04,457185,17.86
1988/05,459188,17.42
1988/06,470751,16.53
1988/07,472269,15.5
1988/08,493593,15.52
1988/09,463818,14.54
1988/10,487565,13.77
1988/11,474116,14.14
1988/12,507588,16.38
1989/01,475782,18.02
1989/02,442655,17.94
1989/03,499257,19.48
1989/04,451668,21.07
1989/05,472353,20.12
1989/06,481166,20.05
1989/07,469467,19.78
1989/08,494678,18.58
1989/09,453528,19.59
1989/10,483369,20.1
1989/11,468363,19.86
1989/12,523133,21.1
1990/01,470494,22.86
1990/02,436024,22.11
1990/03,479180,20.39
1990/04,452784,18.43
1990/05,476746,18.2
1990/06,475272,16.7
1990/07,486749,18.45
1990/08,516970,27.31
1990/09,449690,33.51
1990/10,469086,36.04
1990/11,454263,32.33
1990/12,455693,27.28
1991/01,456949,25.23
1991/02,406962,20.48
1991/03,453751,19.9
1991/04,440158,20.83
1991/05,460562,21.23
1991/06,467421,20.19
1991/07,477396,21.4
1991/08,485596,21.69
1991/09,452777,21.89
1991/10,475266,23.23
1991/11,444914,22.46
1991/12,474351,19.5
1992/01,465375,18.79
1992/02,434274,19.01
1992/03,467025,18.92
1992/04,453578,20.23
1992/05,464686,20.98
1992/06,462165,22.39
1992/07,479778,21.78
1992/08,473424,21.34
1992/09,454159,21.88
1992/10,478502,21.69
1992/11,445112,20.34
1992/12,485459,19.41
1993/01,439915,19.03
1993/02,428427,20.09
1993/03,484078,20.32
1993/04,455180,20.25
1993/05,467550,19.95
1993/06,469522,19.09
1993/07,486980,17.89
