Date,FL,NY,PA,VA,WV,IL,IN,KS,KY,MI,MO,NE,ND,OH,OK,SD,TN,AL,AR,LA,MS,NM,TX,CO,MT,UT,WY,AK,AZ,CA,NV
1981/01,3606,71,317,1,248,2000,438,5151,486,2827,19,554,3787,1148,12139,78,71,1940,1552,17316,2708,6286,80609,2506,2416,2150,11089,49789,28,30297,69
1981/02,3162,68,286,1,234,1775,374,4727,465,2493,17,504,3493,1036,12268,60,73,1661,1400,15648,2437,5593,72591,2255,2342,2170,10016,45346,24,27455,56
1981/03,3167,71,317,1,316,1960,435,5546,531,2807,19,566,3790,1148,13290,74,79,1715,1576,17431,2871,6105,80734,2527,2592,2150,11089,50150,23,30515,58
1981/04,3064,69,306,1,241,2040,402,5524,555,2720,19,560,3805,1111,11905,79,69,1647,1486,16792,2763,5902,77344,2478,2501,2160,10731,48235,28,29540,57
1981/05,3052,71,317,1,294,2095,400,5400,530,2763,19,554,3974,1148,13000,79,71,1620,1576,17344,2894,6053,79890,2498,2626,2150,11089,48977,30,31203,56
1981/06,2856,69,306,1,278,1930,410,5493,635,2682,19,548,3839,1111,12891,79,73,1767,1486,16385,2732,5767,77030,2445,2570,2160,10731,48967,29,30366,57
1981/07,2833,71,317,1,293,2030,419,5438,590,2779,19,548,3841,1148,11698,85,79,1804,1576,16650,2837,5937,78640,2523,2601,2150,11089,49761,29,31383,56
1981/08,2650,71,317,1,267,2090,428,5643,546,2775,19,578,3836,1148,13719,86,78,1764,1576,16671,3006,6012,78356,2495,2630,2150,11089,49675,33,31158,58
1981/09,2612,69,306,1,288,1980,406,5584,558,2739,19,560,3789,1111,13565,84,77,1732,1486,16174,2915,5834,76017,2464,2513,2160,10731,48212,31,30184,60
1981/10,2709,71,317,1,424,2050,323,5787,547,2741,19,580,3879,1148,13165,85,82,1624,1576,16503,3053,6058,78364,2774,2727,2150,11089,49491,33,31316,58
